Received Log:

[9 jul. 2022 11:34:09 a. m.] ASCII:
#---INI---#
Visualiti;UNIX;SM1;SM2
ID;UXTIME;m3/m3;m3/m3
C136;1648256400;37.4;36.1
C136;1648260000;40.2;36.9
C136;1648263600;36.9;34.1
C136;1648267200;36.8;36.6
C136;1648270800;36.7;36.5
C136;1648274400;37.2;36.6
C136;1648278000;36.1;36.4
C136;1648281600;38.4;36.0
C136;1648285200;37.8;37.3
C136;1648288800;37.0;39.8
C136;1648292400;38.7;36.7
C136;1648296000;38.9;37.9
C136;1648299600;38.6;38.5
C136;1648303200;38.8;36.3
C136;1648306800;38.9;34.9
C136;1648310400;37.5;37.0
C136;1648314000;38.0;39.2
C136;1648317600;39.0;34.9
C136;1648321200;37.5;38.7
C136;1648324800;38.2;36.5
C136;1648328400;39.7;36.4
C136;1648332000;36.3;37.6
C136;1648335600;36.6;39.1
C136;1648339200;37.4;36.3
C136;1648342800;37.7;35.6
C136;1648346400;37.9;36.2
C136;1648350000;40.3;38.4
C136;1648353600;40.1;39.3
C136;1648357200;39.4;35.3
C136;1648360800;38.5;38.8
C136;1648364400;38.9;38.1
C136;1648368000;40.0;37.5
C136;1648371600;39.7;40.6
C136;1648375200;38.4;38.6
C136;1648378800;38.0;39.5
C136;1648382400;41.2;39.0
C136;1648386000;39.8;39.8
C136;1648389600;41.5;40.1
C136;1648393200;37.9;36.8
C136;1648396800;39.8;39.7
C136;1648400400;38.7;38.9
C136;1648404000;40.7;37.8
C136;1648407600;39.5;37.4
C136;1648411200;37.6;39.2
C136;1648414800;39.3;38.8
C136;1648418400;38.9;39.7
C136;1648422000;39.5;39.7
C136;1648425600;39.8;38.4
C136;1648429200;39.3;40.9
C136;1648432800;39.7;39.2
C136;1648436400;42.0;36.5
C136;1648440000;39.9;39.6
C136;1648443600;40.7;37.0
C136;1648447200;39.6;40.8
C136;1648450800;40.3;41.3
C136;1648454400;39.2;38.6
C136;1648458000;40.9;36.1
C136;1648461600;40.9;37.8
C136;1648465200;39.5;38.2
C136;1648468800;39.2;41.2
C136;1648472400;40.7;38.7
C136;1648476000;38.4;37.0
C136;1648479600;39.5;39.4
C136;1648483200;39.0;38.4
C136;1648486800;40.2;38.6
C136;1648490400;40.4;38.8
C136;1648494000;40.6;41.3
C136;1648497600;41.7;38.2
C136;1648501200;39.7;38.7
C136;1648504800;40.3;36.2
C136;1648508400;39.7;39.4
C136;1648512000;37.7;38.2
C136;1648515600;39.5;40.5
C136;1648519200;38.2;38.8
C136;1648522800;39.3;39.0
C136;1648526400;40.8;37.4
C136;1648530000;38.8;37.8
C136;1648533600;39.3;39.0
C136;1648537200;39.0;36.1
C136;1648540800;41.1;38.6
C136;1648544400;38.8;38.8
C136;1648548000;38.3;38.8
C136;1648551600;39.4;37.7
C136;1648555200;40.6;36.7
C136;1648558800;40.4;37.2
C136;1648562400;37.6;40.8
C136;1648566000;39.3;38.8
C136;1648569600;39.0;39.0
C136;1648573200;38.6;38.0
C136;1648576800;40.4;37.0
C136;1648580400;38.6;37.8
C136;1648584000;38.9;37.2
C136;1648587600;41.2;35.1
C136;1648591200;40.8;35.8
C136;1648594800;38.6;37.6
C136;1648598400;40.5;39.8
C136;1648602000;37.3;39.9
C136;1648605600;39.2;39.7
C136;1648609200;38.9;35.0
C136;1648612800;38.7;36.9
C136;1648616400;36.7;38.2
C136;1648620000;39.4;34.7
C136;1648623600;38.7;38.4
C136;1648627200;41.6;36.0
C136;1648630800;39.8;35.9
C136;1648634400;38.6;36.7
C136;1648638000;39.7;36.8
C136;1648641600;39.7;37.6
C136;1648645200;37.9;37.6
C136;1648648800;39.7;37.1
C136;1648652400;38.2;34.9
C136;1648656000;39.7;34.8
C136;1648659600;39.2;35.8
C136;1648663200;38.6;35.2
C136;1648666800;37.7;35.9
C136;1648670400;39.0;35.1
C136;1648674000;37.9;33.1
C136;1648677600;39.2;33.9
C136;1648681200;40.8;34.3
C136;1648684800;38.2;33.6
C136;1648688400;37.3;34.5
C136;1648692000;38.0;35.1
C136;1648695600;38.6;33.6
C136;1648699200;39.5;32.6
C136;1648702800;39.3;32.8
C136;1648706400;38.2;34.2
C136;1648710000;38.2;32.1
C136;1648713600;37.1;35.4
C136;1648717200;38.1;32.6
C136;1648720800;38.7;33.2
C136;1648724400;39.6;33.2
C136;1648728000;39.3;31.1
C136;1648731600;39.4;31.0
C136;1648735200;39.0;29.5
C136;1648738800;38.0;29.6
C136;1648742400;38.8;29.3
C136;1648746000;38.6;29.3
C136;1648749600;38.6;27.7
C136;1648753200;39.2;27.8
C136;1648756800;38.6;27.6
C136;1648760400;38.7;27.8
C136;1648764000;37.1;29.2
C136;1648767600;38.3;26.7
C136;1648771200;41.0;26.6
C136;1648774800;38.3;29.0
C136;1648778400;38.9;27.7
C136;1648782000;38.7;28.9
C136;1648785600;38.2;27.0
C136;1648789200;37.9;27.1
C136;1648792800;37.1;28.6
C136;1648796400;37.9;28.8
C136;1648800000;36.6;27.2
C136;1648803600;38.2;28.1
C136;1648807200;39.6;28.5
C136;1648810800;38.1;28.9
C136;1648814400;37.9;27.5
C136;1648818000;37.6;26.7
C136;1648821600;37.2;27.5
C136;1648825200;37.5;27.2
C136;1648828800;37.7;26.3
C136;1648832400;38.7;25.8
C136;1648836000;38.7;24.0
C136;1648839600;37.6;25.0
C136;1648843200;38.2;25.3
C136;1648846800;35.8;24.6
C136;1648850400;38.7;24.2
C136;1648854000;37.7;24.7
C136;1648857600;37.6;25.0
C136;1648861200;37.6;23.6
C136;1648864800;36.9;25.9
C136;1648868400;38.9;25.6
C136;1648872000;36.7;26.5
C136;1648875600;35.8;26.4
C136;1648879200;38.3;25.3
C136;1648882800;39.6;25.6
C136;1648886400;37.7;24.0
C136;1648890000;36.6;26.4
C136;1648893600;36.8;25.0
C136;1648897200;36.9;24.8
C136;1648900800;37.7;25.4
C136;1648904400;36.6;25.4
C136;1648908000;37.1;24.3
C136;1648911600;37.1;25.7
C136;1648915200;37.2;23.5
C136;1648918800;37.5;24.4
C136;1648922400;36.0;22.6
C136;1648926000;38.1;22.6
C136;1648929600;38.2;23.7
C136;1648933200;35.2;25.0
C136;1648936800;37.1;22.6
C136;1648940400;38.3;22.7
C136;1648944000;38.7;23.5
C136;1648947600;35.3;23.8
C136;1648951200;35.3;23.0
C136;1648954800;38.7;24.6
C136;1648958400;38.0;23.2
C136;1648962000;36.9;23.0
C136;1648965600;36.5;22.1
C136;1648969200;35.6;24.8
C136;1648972800;35.6;23.8
C136;1648976400;36.3;23.5
C136;1648980000;38.4;24.8
C136;1648983600;34.9;25.1
C136;1648987200;39.6;22.5
C136;1648990800;35.9;24.6
C136;1648994400;36.4;24.6
C136;1648998000;38.1;22.9
C136;1649001600;35.1;25.1
C136;1649005200;37.1;24.6
C136;1649008800;39.4;25.3
C136;1649012400;36.8;24.3
C136;1649016000;36.9;23.8
C136;1649019600;36.9;25.2
C136;1649023200;39.7;25.0
C136;1649026800;38.5;23.7
C136;1649030400;38.5;24.1
C136;1649034000;36.9;25.1
C136;1649037600;39.3;25.8
C136;1649041200;38.2;24.5
C136;1649044800;38.9;23.9
C136;1649048400;35.6;25.7
C136;1649052000;39.2;23.4
C136;1649055600;38.1;24.3
C136;1649059200;38.2;25.8
C136;1649062800;36.7;37.0
C136;1649066400;36.0;35.5
C136;1649070000;40.4;33.6
C136;1649073600;39.3;34.7
C136;1649077200;39.5;33.9
C136;1649080800;38.8;37.0
C136;1649084400;37.8;33.7
C136;1649088000;39.5;35.7
C136;1649091600;38.5;35.3
C136;1649095200;39.4;32.8
C136;1649098800;40.6;35.6
C136;1649102400;38.1;35.6
C136;1649106000;38.6;33.4
C136;1649109600;38.2;35.9
C136;1649113200;38.1;36.2
C136;1649116800;35.7;33.3
C136;1649120400;38.7;34.7
C136;1649124000;39.7;35.3
C136;1649127600;40.4;33.7
C136;1649131200;38.1;33.2
C136;1649134800;37.3;35.9
C136;1649138400;37.7;34.7
C136;1649142000;37.7;34.9
C136;1649145600;36.8;35.9
C136;1649149200;39.2;37.7
C136;1649152800;36.4;35.1
C136;1649156400;38.2;35.4
C136;1649160000;40.0;33.9
C136;1649163600;38.5;36.9
C136;1649167200;37.5;33.3
C136;1649170800;37.1;37.7
C136;1649174400;37.7;33.9
