Received Log:

[9 jul. 2022 11:39:57 a. m.] ASCII:
#---INICIO DATOS---#
Visualiti;UNIX;RG1
ID;UXTIME;mm
M146;1653889050;0.2
M146;1653889084;0.2
M146;1653889117;0.2
M146;1653889140;0.2
M146;1653889162;0.2
M146;1653889199;0.2
M146;1653889233;0.2
M146;1653889259;0.2
M146;1653889288;0.2
M146;1653889326;0.2
M146;1653889369;0.2
M146;1653889420;0.2
M146;1653889469;0.2
M146;1653889528;0.2
M146;1653889602;0.2
M146;1653889667;0.2
M146;1653889706;0.2
M146;1653889734;0.2
M146;1653889765;0.2
M146;1653889801;0.2
M146;1653889857;0.2
M146;1653889919;0.2
M146;1653889973;0.2
M146;1653890033;0.2
M146;1653890080;0.2
M146;1653890125;0.2
M146;1653890213;0.2
M146;1653890349;0.2
M146;1653890477;0.2
M146;1653890632;0.2
M146;1653890854;0.2
M146;1653890976;0.2
M146;1653891046;0.2
M146;1653891122;0.2
M146;1653891182;0.2
M146;1653891222;0.2
M146;1653891261;0.2
M146;1653891300;0.2
M146;1653891352;0.2
M146;1653891411;0.2
M146;1653891467;0.2
M146;1653891532;0.2
M146;1653891617;0.2
M146;1653891739;0.2
M146;1653891888;0.2
M146;1653892076;0.2
M146;1653892296;0.2
M146;1653892404;0.2
M146;1653892482;0.2
M146;1653892788;0.2
M146;1653895036;0.2
M146;1653897857;0.2
M146;1653898147;0.2
M146;1653898444;0.2
M146;1653898805;0.2
M146;1653899077;0.2
M146;1653899355;0.2
M146;1653899768;0.2
M146;1653900168;0.2
M146;1653900847;0.2
M146;1653902716;0.2
M146;1653903682;0.2
M146;1653904243;0.2
M146;1653904840;0.2
M146;1654027927;0.2
M146;1654028013;0.2
M146;1654028074;0.2
M146;1654028129;0.2
M146;1654028189;0.2
M146;1654028286;0.2
M146;1654028671;0.2
M146;1654072322;0.2
M146;1654079808;0.2
M146;1654079929;0.2
M146;1654080314;0.2
M146;1654080607;0.2
M146;1654080938;0.2
M146;1654081185;0.2
M146;1654081208;0.2
M146;1654081251;0.2
M146;1654081323;0.2
M146;1654081495;0.2
M146;1654081674;0.2
M146;1654081784;0.2
M146;1654235892;0.2
M146;1654356812;0.2
M146;1654356901;0.2
M146;1654357190;0.2
M146;1654358639;0.2
M146;1654358752;0.2
M146;1654358819;0.2
M146;1654358887;0.2
M146;1654358933;0.2
M146;1654359061;0.2
M146;1654359115;0.2
M146;1654359146;0.2
M146;1654359174;0.2
M146;1654359200;0.2
M146;1654359226;0.2
M146;1654359253;0.2
M146;1654359276;0.2
M146;1654359299;0.2
M146;1654359319;0.2
M146;1654359340;0.2
M146;1654359358;0.2
M146;1654359378;0.2
M146;1654359398;0.2
M146;1654359419;0.2
M146;1654359444;0.2
M146;1654359468;0.2
M146;1654359493;0.2
M146;1654359517;0.2
